i18n-prefs;.amazon.in;/;Wed Aug 24 13:06:29 IST 2022;false;INR
visitCount;.amazon.in;/;Thu Sep 23 13:06:24 IST 2021;false;1
session-id-time;.amazon.in;/;Wed Aug 24 13:06:32 IST 2022;false;2082758401l
Cookie_1;www.amazon.in;/;Mon Aug 19 13:06:32 IST 2041;true;1234567890
ubid-acbin;.amazon.in;/;Wed Aug 24 13:06:32 IST 2022;true;260-2415900-3320100
csm-hit;www.amazon.in;/;Tue Aug 09 13:06:31 IST 2022;false;tb:s-DB8NNNH04QHN0NBRZB49|1629790590646&t:1629790591965&adb:adblk_no
session-id;.amazon.in;/;Wed Aug 24 13:06:32 IST 2022;true;257-4057474-0180505
